"filename", "language", "Markdown", "XML", "Python", "Java", "comment", "blank", "total"
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\Resourse\AutoFiltedPacker.py", "Python", 0, 0, 31, 0, 0, 5, 36
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\Resourse\AutoMatchTwo.py", "Python", 0, 0, 57, 0, 4, 6, 67
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\Resourse\AutoMidCompare.py", "Python", 0, 0, 55, 0, 6, 4, 65
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\Resourse\AutoMipsCompare.py", "Python", 0, 0, 77, 0, 7, 4, 88
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\Resourse\AutoRunJar.py", "Python", 0, 0, 28, 0, 1, 3, 32
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\Resourse\AutoTestJar.py", "Python", 0, 0, 40, 0, 2, 3, 45
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\Resourse\ImportStyleCheck.py", "Python", 0, 0, 26, 0, 0, 3, 29
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\Resourse\config.xml", "XML", 0, 149, 0, 0, 10, 10, 169
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\autotest\AutoMatchTwo.py", "Python", 0, 0, 65, 0, 4, 6, 75
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\dev0.1.iml", "XML", 0, 22, 0, 0, 0, 0, 22
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\dev0.2.iml", "XML", 0, 22, 0, 0, 0, 0, 22
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\dev0.3.iml", "XML", 0, 22, 0, 0, 0, 0, 22
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\frontend\lang_design.md", "Markdown", 162, 0, 0, 0, 0, 20, 182
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\frontend\syntax_design.md", "Markdown", 149, 0, 0, 0, 0, 7, 156
"c:\Users\86135\Desktop\CT\projects\dev0.3\out\production\dev0.3\todo_checker.md", "Markdown", 58, 0, 0, 0, 0, 14, 72
"c:\Users\86135\Desktop\CT\projects\dev0.3\todo_checker.md", "Markdown", 10, 0, 0, 0, 0, 2, 12
"Total", "-", 379, 452, 428, 819, 87, 238, 2403
